title,content,type
My Lord Told Me,"My LORD told me that HIS love would not fail, 
as HE showed me a hand that was pierced by a nail.

HE told me I'm safe, started lifting the veil, 
then my eyes became clear, I saw what life entails.

I saw beauty without measure and felt love's complete peace, 
I willfully surrendered but felt no trace of defeat.

I listened to my heart and caught the rhythm of its beat 
as HE says our hearts are one and that this is where love meets.

HE told me that I'm HIS and HE'd never let me go, 
HE just thought that I should know.

If there ever comes a time in life that's really low, 
look back to where our hearts met so that love can begin to show.

I smiled as I heard a melody of joy dancing through the sky. 
It was my LORD singing this song to me of words I can't deny.

HE said HE fought the battle and won it for me, there's no need in asking why
because HE's true, loving, faithful, and kind--with HIM I will never die.

I cried at the sound of HIS words for me, my tears soaking my face
HE reached down and wiped the tears away and said, ""No need for tears in this place.""

I said,""LORD, why would you do this for me? My life has been such a disgrace.""
HE said, ""Say no more, for it is done and my FATHER has dismissed your case.""

""Have trust in ME, as I in you, your life begins today, 
though you may stumble along the path, I'LL help you keep your way.""

""I'LL never let you fall again, never lead you astray. 
For your sins have all been forgiven my love, and for them you will never pay.""",Spritual
God Is In Control,"No matter what you have been told
God is in control
Yes, they came with a report one day
But God has the last say
Rest assured he is near
No need to fear

Hold on to Faith real tight 
Know that everything is going to be alright
When God is in the midst
Defeat doesn't exist
You serve a God who can make a bird sing a beautiful melody
A God who can calm the sea
A God who holds your destiny
He is your healing spring
And in his hands he brings

Hope
Strength
Life
Love
Newness
and Joy

All just for you, because his love is everlasting and true",Spritual
Agape,"She had never been in love;
His was from above.

She didn't like compassion;
His was more than you could imagine.

She was depressed;
He did nothing but bless.

She pushed away,
But He told her to pray.

It took a while,
But slowly she started to smile.

She looked in all the wrong places;
He was the final destination.

She was saved;
His love had engraved.",Spritual
Hope In God,"When everything seems hopeless,
Don't focus on the whole mess.
Just count on every blessing.
Then slowly you'll start progressing.

Never give up on your goals.
Let God take over the controls.
He will gently hold you by the hand. 
Alone you will NOT stand.

Only in God do we have hope,
And only in him can we cope,
So my friend, do not despair,
You should know you have his care.",Spritual
Does God Listen?,"Does God listen when we pray?
Or when we speak does He turn away?

When life is tough, is it His doing?
Is He putting us through a test, to reveal our loyalness? 

Lost in this world with no guidance.
I need help, where can I find it?

My faith is strong, though sometimes rough..
I pray to God, but is it enough?

I know I stray away at times.
But I beg for forgiveness, of this heart of mine.

Sometimes I wonder, why is it me?
When I am going through tragedy.

But then I remember, all He's done.
Even sacrificed his only begotten Son.

No matter what I go through,
I know He's with me, every step of the way.

I thank you God, for all you do.
Even when my heart strays from You.

My heart is yours, forever more
Till the day I'm at your door.",Spritual
Faith,"I was going so fast.
I don't know how you chased me down.
I was growing tired.
You knew I'd finally hit the ground.

You said, ""Open your eyes."" 
I said, ""I'm scared of what I might see.""
But you promised that in you
I would find strength, and you opened your hand to me.

You asked why I was running 
When I barely knew how to crawl.
And why had I been acting so big 
When inside I felt so small.

I didn't know what to say.
I didn't feel worthy to speak.
I was so ashamed
To admit I had been so weak.

You said, ""I know what's in your heart, 
And it's not the life you've been living.
Why must you always take when you have so much to be giving?
You know I watch you try time and time again,
And just when I think you've found me, 
The devil finds his way in.
So I've shown myself today, 
And you've seen what I can do,
But I can also keep up if you make me run with you.
If you decide you'd rather walk, 
I'll stand by your side still.
I can show you a better way, 
And walk with you I will.
You are not alone, though you feel you may be.
Others may have given up on you, 
But you should know you still have me.

I said, ""I fear no one can help me, 
And that's how I truly feel.""
You asked, ""Well then if I, the Lord, can't save you, 
Then tell me who will?""

I said, ""I don't have the answers, as I never have before.""
I heard, ""Open your heart to me, 
And you will have so much more.
Yes, I know you're broken, 
But once you were whole.
Inside you may feel empty, 
But I have all the things to fill your soul.""

Out of nowhere you were gone, but I knew I'd be alright.
Through the darkness I was used to, I saw a ray of light.
I dusted myself off, my heart somewhat a little lighter, 
The sky a bit bluer, the sun a bit brighter.
Somewhere I heard a voice, and it said, ""You are now free, 
But remember, it's not what I will do for you, 
So much as what you will do for me!""",Spritual
Mirror Mirror,"Mirror, Mirror
who do I see
who is the girl
staring back at me

with a softer smile 
and a warmer face
who has put her
in my place

no great change 
has happened since then
why has my heart
chosen to mend

smiling and humming
like a fool
did something happen
was it school

I remember now
those long nights alone
he appeared, he was kind
he was a home

saved from myself
again and again
he was a hero
he was a friend

he is the change
in the mirror I see
he made it okay
for me to be me",Spritual
Conversation With God,"Thank you God

Every night before I sleep
I look up to the Heavens and try not to weep.
For my heart is full 
with the Lord's will,
My strength, my health, and pockets full.
He has blessed me every day
Since birth till today.
Thank you, Lord
'cause now I can afford, 
to testify and praise you
Precious, love, and True-
Thank you.",Spritual
Finding True Faith,"She looks to him day through night,
She knows for him she has to fight.
She gives her soul...her body, 
And her broken heart,
All for him to keep.

She's lived life dark,
She's wanted to die.
But now he's taken in her heart,
And forever she will strive.

She prays to him to believe her truths.
He forgives her sins and takes her in.
He is life and life is Him.

She's a new person,
No longer breaking herself,
For the fact of knowledge,
That he is always there to help.

Every night before she sleeps,
She bows her head,
And keeps it sweet.
Thanking God she isn't dead.

He tells that story of her life,
Finally taking control.
After fifteen long, hard years,
She's finally on her knees,
Screaming...
Lord, please bless me.",Spritual
This Pain,"This pain that I feel cuts through me like steel.
It's like an open wound that just won't heal.
They say that time is the key that turns the lock and sets you free,
But why, God? Why, is this happening to me?

Through the wind he whispers to me:
Be patient, my child, and you will see.
The lessons learned will set you free.
Feel my love and serenity,
And I will guide you through this troubled sea.
Fill your heart with love and forgiveness,
And it is then you will find that golden key 
That turns the lock and sets you free.",Spritual
Only A Test,"She grew weary and started to question God.
She was sick and tired of life being so odd.
She trusted him but just wished she understood,
So much chaos even though she was doing good.
Why was she suffering and facing hardships the longest?
She didn't know God's best are chosen to be the strongest.
She never realized she was one of his greatest soldiers.
Even when she felt alone, he was there to hold her.
God had to teach her to keep her faith and peace.
She needed to go on and pray always and not cease.
God was there with her through each and every day.
He kept her safe and warm when the skies were gray.
God loved her more than she would ever see or know.
It was only a test so she could continue to grow.",Spritual
A Son's Pain,"Until the end of the day, I sit and pray
Looking towards the heaven, looking toward that day.
The day when life will unfold its plan
To a needy young man trying to make it through this land.
Had dreams of wealth, happiness galore
But only received nightmares, Lord I can't take anymore.
Please lead me to that path that You have set for me
My patience is running short. Where do you want me to be?
I know I am one of your angels, one without the wings
I try to be kind and peaceful, bring to people wonderful things.
But I feel more hurt than happiness, tears continue to flow
I see so much more with my life, but things are happening slow.
So I ask you, Father, please show me your full grace
Because I am tired of hiding my smile underneath the pain on this face.",Spritual
True Friend,"There's SOMEONE in your life
Who's always there at your side,
Someone who's ready to help,
Even before you ask for it.

He makes your day bright,
Puts colors in your gloomy life;
He's always there, if you only know
To lean on and hold on to.

Wherever you are and whatever you do,
Just remember He is leading you.
There'll be stumbling blocks and hindrances,
Yet He'll turn these into stepping stones and bridges.

So, just walk on and don't be afraid,
You're precious to Him because you're His beloved.
Don't be discouraged for the failures you see.
Someone is always with you on your journey
Because He is your TRUE FRIEND and ever will be.",Spritual
I Am Not Alone,"I thought for many years I was alone 
and walked a lonely path with no presence of HIM. 
I could not see a reason to go on. 
I was saddened when my faith disappeared. 
I hurt so deeply and never wanted to accept it or show it. 

For many years I cried ""empty"". 
No one to touch, no one there to listen 
and no kind soul to take me and make me whole again.

I waited and waited but never spoke to HIM. 
Why? 
I will never know why I chose a path so lonely without HIM. 
All I had to do is ask HIM for help 
and he would have reached down and grabbed my soul.

Well the time was not right 
and we all know that you cannot force the Holy Spirit into your life.

As I helped others with their healing for years and tried to guide them to his light, 
I finally decided it was my time. 
I finally called out begging for HIS presence. 
For years I called and begged for HIM. 
I need you more than ever; 
please show me you exist. T
hen one low day I screamed for help 
as I could not take the pain anymore. 

I said Dear GOD in Jesus name, 
please walk with me and guide me through these terrible scary times 
I am witnessing right now. 
I am ready to lift my life up to you. 
If you really do exist please I pray show me NOW.

WOW I never felt a presence so huge before. 
I felt two hands reach down to hug me, 
and my soul felt so warm again. 
I felt alive again. 
As I pray daily, I feel love and acceptance again. 
I AM NOT ALONE. 
When I chose to welcome Christ back into my life and walk with HIM daily 
was the day I realized I AM NOT ALONE. 

When he shines down 
I realize there's love, hope and faith. 
I now choose to follow his word, 
and I talk to him in all my life choices. 

As I walk through life witnessing all the beauty of nature, 
I thank GOD for the beauty of life. 
I also always remember I AM NOT ALONE. 
When you find GOD you are not ALONE.

""I am not alone"".

Just believe",Spritual
Secret Of Happiness,"when sadness fills your heart
when tears make you fall apart
when its gloomy all around
when you hear a silent killing sound
when love loses its meaning
when you always end up screaming
when hope is lost and faith is shattered
when you have lost every battle that mattered
that is gifted time in life
cause god is with you when you struggle and strife
don't let it go for there's much you may learn
cause happiness is gained only when you yearn
this dark night will soon end in day
we will laugh again and play
spring will come very soon 
our fate will again shine like moon
hopes dashed to ground will again be honored and crowned
desire left alone will never be drowned
the dazzling light from above will fall on us
it will Begin the process of all sorrow minus and all joys plus
HE'LL COME WITH HIS RADHA AND HIS FLUTE
WILL SAY TO YOUR HOPE TO YOUR FAITH
A BIG BIG SALUTE
He'll say life is waiting for you 
angels and love is in your crew
NOW DON'T EVER SHED A SINGLE TEAR 
CAUSE I'LL BE ALWAYS THERE",Spritual
He's Only A Breath Away!,"When I feel far from God,
There's a special thing that I do;
I take a very deep breath!
He gave it also to you.

The breath that we breathe so easily,
It came from God above.
It's a divine connection,
To the one that we love.

His offspring we are, and,
It is Him from whence we came.
He gave us our lives,
And He knows us by name.

He's aware of our conditions,
Having numbered our head of hairs.
God is not far from us;
God is near and He cares.

Breathing into man the breath of life,
Man became a living soul!
Reach to Him, He reaches back!
He wants to make us whole.

So when you are feeling far from God,
And are having a lonesome day,
Take a deep breath and remind yourself,
""God is only a breath away!
He's only a breath away!""",Spritual
A Ray In The Darkness,"Aid comes from unexpected source
to give comfort 
like no one else
where everyone else
just turned away
you came,
you smiled, 
you bade me stay.
to listen,
to wait,
to commune again,
to weep, 
to smile,
to give up the pain.
and when all is over,
to be encompassed in embrace
to whisper words of clarity and grace,
and finally when dawn is due
I think I can finally face it 
with you.",Spritual
Only A Prayer Away,"When all seems down and lost
Just think of he who died on the cross.
He shall guide you through 
Your time of hurt and blue.
When you feel all alone,
Just think of him upon the throne.
He shall give you strength and hope.
Trust in him, and you'll be able to cope.
There was once a time when I forgot
About him who never lets me down.
All day long I carried a frown.
It didn't matter where I was;
At home or walking the town.
One night before I slept,
I thought of the promise I no longer kept.
I prayed hard and strong that night.
Since then I have no more fright.
So just remember at times not only of need
That the Lord, Our God is only a prayer away.",Spritual
Sometimes,"Sometimes I look at the stars, Lord, and wonder if you're there.
I have so many questions for you, I have so much to share.
Sometimes I feel your presence, sometimes I feel you're near.
If I tell you how empty I feel, would you still be there to hear?
Sometimes I think back and realize how far I have come,
From feeling like nothing, to feeling like ""I'm the one!""
Sometimes I feel that the only one I can trust is ""me"".
If only I could trust again, Lord, ""if only I could believe.""
Honestly, Lord, I'm tired of being on the fence,
And Honestly, Lord, sometimes things just don't make sense.
I'm asking you now, dear Lord, would you please
Send me something that is certain to convince me.
Sometimes I don't think it's fair to make us guess so much
And so much of all of this seems like it's just luck.
We are supposed to have faith, but not base it on much.
I need more than that, I want something I can touch. 
Sometimes I feel that you gave us a brain to use,
But the more I use it, the more I am confused.",Spritual
Feelings Hidden,"I'm crushed, I'm broken,
I'm confused by the word you've spoken
I run to the shelter of a friend
who truly is a helping hand.

I'm torn, I'm scared,
I fear of what could happen
I grab onto the outstretched arms
Comforting me more than words can tell.

I'm empty, I'm lonely,
I only want a place of belonging
I reach and touch the hymn so vibrant
Healing my broken heart.

I'm hurt, I'm bleeding,
These feelings I hold so dear inside
I reach out yet again to this loving hand
Guiding me to the place of Redemption
No longer were my feelings hidden.",Spritual
Through The Ashes,"Keeping me safe when I destroyed myself,
He gave me strength I always felt.
Even through my denial,
Spitting rage, toxic and bile,
He was there.
Black and blue,
Battered and shattered,
I had lost the fight.
Broken, he knew
Every step took all my might.
My decision he made easy.
My life previously made me queasy.
I picked up my pieces and brought them with me.
He is here.
Now there is hope
That I can mend my soul,
That I may learn to grow
And make a home.
He saved me.",Spritual
The Day Is New,"Yesterday is gone,
The day is new.

Let's not forget the Lord is true,
He will always be there to pull us through.

He comes from the heavens where the skies are blue;
Sometimes they can be filled with gloom.

Through the darkest days and the brightest nights,
He will stand at our sides like everything will be all right.

No more hurt and no more pain.
With the word of the Bible, everything we will gain,

So let's stand with God and be his saints.",Spritual
Thank You God,"As I awoke this morning and placed my feet upon the floor,
I prayed, ""Thank you God, I get to enjoy another day.""
As I recall the precious memories of family and friends
I prayed, ""Thank you God, for they are all so dear.""
When I walked into work and begin, 
I prayed, ""Thank you God, for good health and the ability to provide for my family.""
I live in America, the land of the free and home of the brave, 
Thank you God, and keep our country strong, and free.
But most of all, thank you God for sending Jesus to die for me.",Spritual
God's Prayer,"Holy Spirit, we come to you
Holy Spirit, guide us through
Holy Spirit, we know you in a humble way
Teach all to kneel and pray 

Holy Spirit, guide our path
Holy Spirit, rescue everyone of the coming wrath
Holy Spirit, teach us wisdom
Holy Spirit, may we be forgiven

Holy Spirit, give us courage
We shall not be discouraged
Holy Spirit, come into our hearts
We shall never depart

Amen",Spritual
History,"You were there in  41 when the bombs came raining down
And there in 1945 when victory came to town.
With ticker tape and bands and speeches, loud and raucous cheers,
We all gave thanks to You that day, some through stinging tears.

You were there in 1950 in a far-off frozen land.
At Inchon, at Pusan, wherever we made a stand.
And  53, when peace came, the young men came back home,
You were there among them; they never fought alone.

In 1963, on a bloodstained Dallas street,
Flags everywhere at half-mast, a nation stunned in grief.
A tiny boy s salute that brought us all to tears,
A solemn march to an eternal flame, yet You are still right here.

In  68, in Memphis, on a hotel balcony,
You were in the heart of one who died to set his people free,
And Your voice was in the echo of a thundering broadcast.
Though one shall pay the price...all are  free at last. 

Through Vietnam, through Watergate, foundations of our land
Were shaken badly to the core, but You alone still stand.
Our innocence was lost it seems; why did You go away?
You never really left us; it was we who went astray.

In Munich, 1973, when evil raised its head,
Black-hooded assassins, eleven athletes dead.
Where is justice? Where is God? Why did they have to die?
Yet, Your voice, calm and quiet ""Be still you ll get by. 

September of 2001, need I even say.
The burning pain inside us upon that blackest day.
Satan laughing with delight at all the evil done,
But we, who were divided rose again as one.

Why is it that we only think of You in time of need?
Are we so deaf and blind? Why can we not see?
And you, Osama, you great fool, if you really want changes done
Why can t you follow Gandhi, and King .and Jesus .THEY all WON.

You were aboard Titanic, Lord, when she sailed out on the blue,
You were aboard Challenger, and on board Columbia too,
In a plane over Lockerbie, Scotland .in a London subway train.
Though evil swells from the depths of hell...in the end, You still reign.

I heard a verse long ago about footprints in the sand.
When the years are good, two sets of prints, we walk, Lord, hand in hand.
But darkness comes; we look behind, one set of prints we see.
These footprints are our history .the prints belong to Thee.",Spritual
He Is There,"God comes to us in quiet and simple ways.
He is there when the breeze rustles the palm fronds on a quiet, lazy, sunny afternoon.
When the raindrops softly patter on the thirsty tin roofs of the poor, he is there.

Look for him behind the laughing eyes of a child,
or smell him in blossoming jasmine flowers
on a clear and starry moonlit night.
Hold his hand when you take your love by the hand,
and feel the warmth of his tears
as you console a grieving friend in your arms. 

He is there in a baby's first cry
and in the dying man's last sigh.
When the waves break on the golden sands
and the seagulls fly into the white clouds,
when the church bells ring on an Easter Sunday
inviting you to receive the sacred brad, he is there.

Taste him when you bite into the yellow ripeness of a mango
or when you quench your thirst with sweet water of a coconut.
God comes to us only in quiet and simple ways.
Never his presence in violence will you find;
never look for him in words of anger or cowardly actions.

His love and his peace surround us, above and beyond.
And only in those simple, everyday things
when we look with our eyes filled with his love
can we find him.",Spritual
God's Poetry,"When you look at the trees you feel inner peace.
And when you see the seas you feel blessed.
God's poetry is all around us.
To know his beautiful pictures on his great canvas is beauty to the beholder.
No fortune teller can surpass his knowledge and no painter can outdo his pictures of wonderful love.
We should all love God, for He is truth, life, and the way!
Each day we should praise him and give true thanks for everything He has done for us.
Indeed, God is a true poet and in the holy Bible, you will find the truth and word of real meaning and love,
And above all, you will feel tranquility when one day you meet God.
He is the most special spirit to admire and adore. 
And He is precious to many people.
And those that attend church meetings are doing what is right in their hearts.
Yes, God is a true poet and loving toward all his children.",Spritual
A Strong Comfort,"He gives me strength 
when I have none,
on days when I'm weary 
and can do nothing but weep.

The Lord is there 
to dry my sore eyes.
Sometimes I wander off the path, 
losing sight.

That is when he gently 
guides me into his light.
He is a loving father 
to the fatherless,

a comfort to the broken hearted,
to those who are abused 
and have forgotten 
the Lord is their healer.

When storms toss you about, 
causing confusion, 
just find a place to pray.
Then the Lord will stay by your side, guiding you all the way.",Spritual
Hold On God Has Said,"When you feel all down, God is around.
So don't ever pout, he said there's no doubt.
He loves us the same, so don't ever change.
So when in doubt, it will come about.
So use your faith and stand in your place!",Spritual
My Contemplating Creation Of The Universe,"The Lord created me in the beginning of his works, 
before all else, 
when he set the heavens in their place, I was there, 
before he made the earth, I was his darling child
and played the creation game, in eternal joy with him. 
I was his craftsman and his companion and delight. 
Wisdom and word is my name 
and I was with him before all creation. 
He is the ancient of days and I am his eternal son. 

We together created mighty superstrings 
and weaved them together with colossal strands of energetic light 
colored in beautiful magnificent opalescence 
into the very fabric of reality 
and a new unimaginably beautiful universe was born in glory and delight.

We sang together the song of creation 
and the new universe began to vibrate with countless frequencies of light, 
glory translucent and everlasting with the vibrations of the song of existence. 
The singer sang the song, 
the painter the painting, 
the creator the creation. 

The universe then began to weave, dance, and vibrate flux and vortex into one colossal maelstrom, 
spiral in perfect order from the mind of the eternal one. 
The Universe danced and sang with joy. 
The dancer danced and sang along with his new creation.


Oh! How we rejoiced together that wonderful day. 
The mighty suns began to sing together the beautiful song of creation 
across the vastness of the marvelous new mighty universe. 
All sang together in wonderful harmony. 

In pristine beauty was the planet earth created.

But God hesitated and decided to first create immortal companions Angels of light that would serve him, without question. 

He then looked at that most unique and beautiful pristine of water blue worlds, 
planet earth in a beautiful universe, 
we call it planet earth and the sun around which it revolves is called Sol.

God then created all the creatures on the earth 
and in the universe gave humanity a colossal complex brain 
so that they could look after all the creatures on blessed mother earth. 
He gave humanity one thing unique from all the other creatures, 
namely, a free will without any restrictions or reservations or conditions.",Spritual
My Confession,"The rain drips down from the windows
to my soul.
I hate to look through them by myself.
Maybe my tears,
they will wash my sins away.
Windex is what I need
so that I am streak free.
Widows rimmed red and puffy
spotted with dirty deeds
this green monster is growing inside me
this thing, is getting bigger.
It will appear over night
after planting three magical beans,
sky rocketing to the sky blaming whoever is near.
Instead lead me to the sky
oh big, green, bean stalk.
My father forgive me
of this thing growing in me
Because
anger, revenge, and guilt
will just heighten the pain. 
Which isn't what I need,
but instead a pain reliever,
forgiving grace.",Spritual
My God Of Love,"Great in majesty
Wondrous in works

Beautiful in nature
Lovely in heart

Who can compare
To this mystery

A great mystery
One of love

My God of love
The mysterious love

How beautiful He is
Each day more beautiful to me

My God of love
The great I am

For love is He
A love everlasting",Spritual
What Am I Looking For?,"I lie in my bed at night...thinking, 
Sometimes a little too much. 
I am tired, it's dark and my family has long since been asleep, 
Sleep would be merciful, my eyes are sealed shut 
but yet my mind is running in circles, 
what is it about the long dark nights that keep my mind going? 
I get up and go to see the stars, 
I run outside hoping to find some one? 
An Angel? 
Holy Ushpinizim? 
A word from HaShem? 
What is it I am looking for?
My life? 
My love? 
I look up to my old friends who have been with me my whole life.
The shine down on me as if I am the only thing to shine on, 
they fill my eyes with sparkles and give my heart hope, 
they make me realize that God is truly there. 
I climb back into my bed, 
no longer warm but my soul is at rest, 
and at last sleep comes.",Spritual
Goodbye,"now I say goodbye
now I say goodbye forever
and if we never meet again
may God hold you till the end
goodbye

may God hold you
may God heal you 
may he be there as your friend

may God keep you
may God save you
may he be there in the end
goodbye

the times we've spent together has been one of a kind
the times we've spent together I've cherished the time
but now we're growing older
now we're growing wise
it's time to take that step and learn to fly

goodbye till the end
may God hold you in the end
and he will be your friend.
goodbye.",Spritual
The Mercy And Strength,"Lord, at times we come to you, our faith is not as strong. But in your loving arms we fall; you show us that we belong. You carry us when we think we can't go any longer. The love you have can only grow stronger and stronger. With you living in our daily lives, you are the living God we praise. Thank you for the goodness and showing us along our way. At times we want to lay it all down to you, and at your feet we fall. You show us that there is a way and help us to give it our all. You give us the faith to be stronger, even though we may not know. The things that are not of you, you help us to let go. You are my strength, my deliverer, the rock that makes me unbroken. You lead me to be righteous with things I feel are all unspoken. We pray for understanding, but sometimes we may stumble. We look up to you for answers that our world may never crumble. We know at that time you will be there to carry us through it all. You are there to pick us up, even as we may fall. Father, our ever living God, we ask you for your pardon, For one day we will be with you, living in your heavenly garden. Until then, Lord, thank you for all the many blessed filled days. Keep us so loved and comfortable; we are at awe with you, just amazed. ",Spritual
Peace,"As I wander through the green, green, grassy glades 
With valleys swathed in darkness.
In deep dark tunnels of despair,
all my burdens laid on my shoulders.
I know that I am His sheep and He is my shepherd.

With every footstep I take He guides my way.
When I stumble, He lifts me up
And leads me through valleys far and wide.
Streams flow and meander with life-giving water,
A place where I can sit and stay.

With Him I am at peace.
He knows my every thought,
Even the secrets of my heavy heart.
His blessings fill my every day.
With His spirit I know I am safe.

I foresee the light of heaven.
All around the crafted colours of Creation.
His arms outstretched to comfort me.
His caring, calming voice
Leads me to a place of peace.",Spritual
I'm Going There,"I'm going where the rainbows glow
And the clouds will never cry.
The sun will sit upon the Earth
To warm the heavens with its shine.
Where the sweetest scent of the roses
Will be carried with the breeze
To mingle with the garden fruits.
The butterflies and the bees,
The birds will sing together,
And the nights will all be day.
The stars will forever twinkle
And the flowers will never fade.
So this is where you will find me
When my time on Earth is done.
I'll go to be in this great heaven
With all of God's chosen ones.",Spritual
Dive,"I went in head first
Yeah, I took a dive

To the depths of insanity
But somehow survived

Voices call out to me
No way to pretend

They won't let me be 
They scream with no end

Fueling my anger
Fueling my fears

Of the demon inside me
And the hell that is near

Stripped of my dignity
They've taken my pride

Leaving me naked 
And hollow inside

My gut is aching
To confess this sin

First came guilt
Then paranoia set in

Who to run to?
In whom to confide?

Who will forgive me?
For they know I have lied

I went in head first
Yeah, I took a dive

Into my Lord's arms
By his grace I survived",Spritual
Sonnet 34: Why didst thou promise such a beauteous day,"Why didst thou promise such a beauteous day,
And make me travel forth without my cloak,
To let base clouds oertake me in my way,
Hiding thy bravery in their rotten smoke?
Tis not enough that through the cloud thou break,
To dry the rain on my storm-beaten face,
For no man well of such a salve can speak
That heals the wound and cures not the disgrace:
Nor can thy shame give physic to my grief;
Though thou repent, yet I have still the loss:
The offenders sorrow lends but weak relief
To him that bears the strong offences cross.
   Ah! but those tears are pearl which thy love sheds,
   And they are rich and ransom all ill deeds.
 
 
 ",Love
Sonnet 125: Weret aught to me I bore the canopy,"Weret aught to me I bore the canopy,
With my extern the outward honouring,
Or laid great bases for eternity,
Which proves more short than waste or ruining;
Have I not seen dwellers on form and favour
Lose all, and more, by paying too much rent,
For compound sweet forgoing simple savour,
Pitiful thrivers, in their gazing spent?
No;let me be obsequious in thy heart,
And take thou my oblation, poor but free,
Which is not mixd with seconds, knows no art,
But mutual render, only me for thee.
   Hence, thou subornd informer! a true soul,
   When most impeachd, stands least in thy control. 
 ",Love
Sonnet 133: Beshrew that heart that makes my heart to groan,"Beshrew that heart that makes my heart to groan
For that deep wound it gives my friend and me:
Ist not enough to torture me alone,
But slave to slavery my sweetst friend must be?
Me from myself thy cruel eye hath taken,
And my next self thou harder hast engrossed;
Of him, myself, and thee I am forsaken,
A torment thrice threefold thus to be crossed.
Prison my heart in thy steel bosom's ward,
But then my friend's heart let my poor heart bail;
Whoeer keeps me, let my heart be his guard:
Thou canst not then use rigour in my jail.
    And yet thou wilt; for I, being pent in thee,
    Perforce am thine, and all that is in me.",Love
"Sonnet 139: O, call not me to justify the wrong","O, call not me to justify the wrong
That thy unkindness lays upon my heart;
Wound me not with thine eye but with thy tongue;
Use power with power, and slay me not by art.
Tell me thou lovst elsewhere; but in my sight,
Dear heart, forbear to glance thine eye aside;
What needst thou wound with cunning when thy might
Is more than my oerpressed defense can bide?
Let me excuse thee: ah, my love well knows
Her pretty looks have been mine enemies;
And therefore from my face she turns my foes,
That they elsewhere might dart their injuries
    Yet do not so; but since I am near slain,
    Kill me outright with looks and rid my pain.",Love
"Sonnet 142: Love is my sin, and thy dear virtue hate","Love is my sin, and thy dear virtue hate,
Hate of my sin, grounded on sinful loving.
O, but with mine compare thou thine own state,
And thou shalt find it merits not reproving;
Or if it do, not from those lips of thine,
That have profaned their scarlet ornaments
And sealed false bonds of love as oft as mine,
Robbed others beds revenues of their rents.
Be it lawful I love thee as thou lovst those
Whom thine eyes woo as mine importune thee:
Root pity in thy heart, that, when it grows,
Thy pity may deserve to pitied be.
    If thou dost seek to have what thou dost hide,
    By self-example mayst thou be denied.",Love
"Sonnet 147: My love is as a fever, longing still","My love is as a fever, longing still
For that which longer nurseth the disease,
Feeding on that which doth preserve the ill,
Th uncertain sickly appetite to please.
My reason, the physician to my love,
Angry that his prescriptions are not kept,
Hath left me, and I desperate now approve
Desire is death, which physic did except.
Past cure I am, now reason is past care,
And frantic-mad with evermore unrest;
My thoughts and my discourse as madmens are,
At random from the truth vainly expressed:
    For I have sworn thee fair, and thought thee bright,
    Who art as black as hell, as dark as night.",Love
The Duchess to Her Readers,"A Poet am I neither born nor bred,
But to a witty poet married:
Whose brain is fresh and pleasant as the Spring,
Where Fancies grow and where the Muses sing.
There oft I lean my head, and listening, hark,
To catch his words and all his fancies mark:
And from that garden show of beauties take
Whereof a posy I in verse may make.
Thus I, that have no gardens of my own,
There gather flowers that are newly blown.",Love
Sonnet 1,"Loving in truth, and fain in verse my love to show,
That she, dear she, might take some pleasure of my pain,
Pleasure might cause her read, reading might make her know,
Knowledge might pity win, and pity grace obtain,
I sought fit words to paint the blackest face of woe,
Studying inventions fine, her wits to entertain,
Oft turning others leaves, to see if thence would flow
Some fresh and fruitful showers upon my sunburned brain.
But words came halting forth, wanting Inventions stay:
Invention, Natures child, fled step-dame Studys blows,
And others feet still seemed but strangers in my way.
Thus great with child to speak, and helpless in my throes,
Biting my truant pen, beating myself for spite:
Fool, said my Muse to me, look in thy heart and write.",Love
"Book 5, Epigram 20: In Misum & Mopsam.","Misus and Mopsa hardly could agree,
Striving about superiority.
The text which says that man and wife are one,
Was the chief argument they stood upon. 
She held they both one woman should become,
He held both should be man, and both but one.
     So they contended daily, but the strife
     Could not be ended, till both were one wife.",Love
"['Joy of my life, full oft for loving you']","Joy of my life, full oft for loving you
    I bless my lot, that was so lucky placed:
    But then the more your own mishap I rue,
    That are so much by so mean love embased.
For had the equal heavens so much you graced
    In this as in the rest, ye might invent
    Some heavenly wit, whose verse could have enchased
    Your glorious name in golden monument.
But since ye deignd so goodly to relent
    To me your thrall, in whom is little worth,
    That little that I am shall all be spent
    In setting your immortal praises forth;
Whose lofty argument uplifting me
    Shall lift you up unto an high degree.",Love
from Pamphilia to Amphilanthus: 17,"Sweet shades why doe you seeke to give delight
    To mee who deeme delight in this vilde place
    Butt torment, sorrow, and mine owne disgrace
    To taste of joy, or your vaine pleasing sight;

Show them your pleasures who saw never night
    Of greife, wher joyings fauning, smiling face
    Appeers as day, wher griefe found never space
    Yett for a sigh, a grone, or envies spite;

Butt O on mee a world of woes doe ly,
    Or els on mee all harmes strive to rely,
    And to attend like servants bound to mee,

Heat in desire, while frosts of care I prove,
    Wanting my love, yett surfett doe with love
    Burne, and yett freeze, better in hell to bee.",Love
